Date	uz	n	Tmin	Tmax	RHmin	RHmax	Pre	Runoff	Ave_T
1989/1/1	2.5	0	8.9	10.3	75	79	0	12	9.4
1989/1/2	0	6.4	8.4	19.8	46	78	0.2	9.36	11.5
1989/1/3	0.5	8.4	7.5	22.7	47	81	0	8.49	13.2
1989/1/4	0.3	0	13.7	16.1	76	89	39	8.78	14.5
1989/1/5	0.3	0.2	13	17	73	96	54.6	29.6	13.7
1989/1/6	0	0	13.1	15.7	96	98	23.1	73.8	14.2
1989/1/7	0	0	14.9	19	98	98	4.3	39.8	16.9
1989/1/8	0.5	1	16.6	22.2	80	93	0.3	23.4	19.3
1989/1/9	1.3	2.9	16.9	23.1	70	85	0	18.1	19.7
1989/1/10	2.8	3.3	18	22.1	76	85	0	16.3	19.9
1989/1/11	2	0	11.4	20.4	80	90	1.6	15	15.7
1989/1/12	4.5	0	4.4	11.4	76	83	11.5	12.6	6.6
1989/1/13	4.3	0	2.4	4.6	80	88	17	13.2	3.1
1989/1/14	3	0	0.9	3.1	76	82	2.9	22.5	1.7
1989/1/15	3.3	0	1.5	5.6	68	75	5.9	17.8	3.1
1989/1/16	1.3	0	3.2	6.6	77	88	3.4	16.6	4.6
1989/1/17	1.5	2.9	5.1	16.4	70	83	0	16.3	10.1
1989/1/18	1.3	0	10.6	13.4	80	86	0.2	14.1	11.5
1989/1/19	3.3	0.4	8.3	12.3	71	83	0	13.5	9.2
1989/1/20	3	6.2	6.2	14.1	65	80	0	12.9	8.7
1989/1/21	2.5	1.7	7.4	15.1	66	77	1.1	12.6	10.5
1989/1/22	4	0	5.9	10.6	71	81	1.6	12	7
1989/1/23	1.8	9.4	2.8	14.4	40	63	0	11.4	8
1989/1/24	1.3	3.8	7.9	17.6	36	58	1.1	10.8	11.3
1989/1/25	0.5	0	9.4	13	58	77	12.6	10.8	10.7
1989/1/26	1.5	0	8.8	11.1	75	84	6.2	12.6	9.6
1989/1/27	2.8	0	5.6	9.3	70	75	1.6	12.9	7.5
1989/1/28	2.3	0.6	3.4	10.5	52	64	3.3	12.3	6.5
1989/1/29	2.8	0	3.7	8.2	59	85	1.8	12	5.4
1989/1/30	1.3	0.2	4.5	11.1	75	87	0.6	12	6.7
1989/1/31	1.5	0	7.5	11.7	81	85	0	12	8.9
1989/2/1	3.8	0	6.4	9.7	70	78	0	11.4	7.6
1989/2/2	3.3	0	5.5	7.4	76	79	0.4	10.8	5.9
1989/2/3	2.3	0	4.2	6.5	72	80	0.1	10.8	5.4
1989/2/4	1.5	0.5	2.6	12.4	56	71	0.3	10.5	7.2
1989/2/5	1.5	0	7	11.7	66	79	0	10.2	9
1989/2/6	0.3	0	8.6	15.1	69	78	0	9.94	11.2
1989/2/7	2.3	0	8.5	13.4	73	81	3.1	9.94	10.7
1989/2/8	1.3	0	6.6	8.6	83	87	7.8	9.94	7.3
1989/2/9	2	0	6.1	7.1	73	82	1.5	12	6.4
1989/2/10	0.8	7.9	3.8	12.9	43	66	0	10.8	7.4
1989/2/11	0.8	9.4	3	15	36	64	0	10.2	7.9
1989/2/12	0.8	9.1	1.2	18.6	21	62	0	9.65	8.3
1989/2/13	1	9.3	2.7	20.3	21	65	0	9.94	9.8
1989/2/14	0	0.4	9.1	18.3	52	74	0	9.36	12.7
1989/2/15	0.8	0.8	14	20.7	71	84	0	9.36	16.7
1989/2/16	2	6.1	14.6	25.6	56	81	0	9.36	19.7
1989/2/17	0.5	0	18.6	21.5	78	84	1.3	9.07	19.9
1989/2/18	4.3	0	11.5	19.3	71	79	0.6	8.78	13.2
1989/2/19	1.3	0	10.5	15.1	75	84	0	8.78	12.7
1989/2/20	0.5	0	13.7	20.1	72	89	0	8.49	15.8
1989/2/21	1.3	0	12.9	23.2	60	86	0	8.2	15.9
1989/2/22	3	2.3	9.9	21.7	57	76	0	7.72	14
1989/2/23	1	4.8	12	24.6	56	71	0	7.48	17.6
1989/2/24	2.3	0	14.2	22.7	56	72	0	7.72	17.3
1989/2/25	2.3	8.9	7.2	21	26	60	0	7.72	12.4
1989/2/26	0.8	9	5.2	24.5	12	55	0	7.48	12.7
